mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
16	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	86						
16	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	87						
17	15	43	43	0.0	0	0	Dynamic	3/4	1	1	0					p					
17	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	88						
17	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	89						
17	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	90						
17	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	91						
17	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	92						
17	15	44	44	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	93						
17	15	45	45	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	94						
17	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	95						
17	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	96						
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	97						
18	16	46	46	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	98						
18	16	48	48	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p					
18	16	48	48	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	99				5		
18	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	100						
18	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	101						
19	17	49	49	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	102				5		
19	17	50	50	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	103				5		
19	17	51	51	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	104				5		
19	17	49	49	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	105						
19	17	50	50	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	106						
19	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	107						
20	18	52	52	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	108		articAccentAbove		5		
20	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	109				5		
20	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	110				5		
20	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	111						
20	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	112						
20	18	53	53	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	113						
20	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	114						
21	19	55	55	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	115				6		
21	19	56	56	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	116				6		
21	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	117				6		
21	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	118						
21	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119						
21	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120						
22	20	58	58	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	121		articAccentAbove		6		
22	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	122				6		
22	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	123				6		
22	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	124						
22	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	125						
22	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126						
22	20	60	60	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	127						
23	21	61	61	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	128				7		
23	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	129				7		
23	21	63	63	0.0	1/2	1/2	StaffText	3/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>decresc.</i>"	7		
23	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	130				7		
23	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	131						
23	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	132						
23	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	133						
24	22	64	64	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	134		articAccentAbove		7		
24	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	135				7		
24	22	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	136				7		
24	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137				7		
24	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	138						
24	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	139						
24	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	140						
25	23	67	67	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	141		articAccentAbove		7		
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	142				7		
25	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	143				7		
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144				7		
25	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	145						
25	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	146						
25	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147						
26	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	148						
26	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149						
26	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150						
