mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	86	Cru-									
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	87										
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	88	-xus									
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	89										
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	3	1	1/16	1/16	1	90										
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16	1/16	1	91										
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	92										
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	93										
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	94										
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	95										
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	96	---									
7	7	24	24	0.0	0	0	FiguredBass	4/4	5	1	0										1/8	5		
7	7	24	24	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	97										
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	5	1	1/16	1/16	1	98										
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	5	1	1/16	1/16	1	99										
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	5	1	0										1/8	6		
7	7	25	25	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	100										
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	101										
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	5	1	0										1/4	5	3	
7	7	26	26	1.0	1/2	1/2	Chord	4/4	5	1	1/4	1/4	1	102										
7	7	27	27	0.5	3/4	3/4	Chord	4/4	5	1	1/8	1/8	1	103										
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	5	1	1/8	1/8	1	104										
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	105	-ci									
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	106	fi									3
8	8	28	28	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	107	e-									
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	108										
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	109	-tiam									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	110	pro									
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	111	no-									
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	112										
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	113										
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	114										
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	115										
8	8	28	28	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	116										
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	117										
8	8	29	29	0.25	1/4	1/4	Chord	4/4	3	1	1/16	1/16	1	118										
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	3	1	1/16	1/16	1	119										
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	3	1	1/16	1/16	1	120										
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	3	1	1/16	1/16	1	121										
8	8	30	30	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	122	---									
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	123										
8	8	31	31	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	124										
8	8	28	28	0.0	0	0	FiguredBass	4/4	5	1	0										1/8	6		
8	8	28	28	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	125										
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	5	1	1/8	1/8	1	126										
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	5	1	0										1/4	5_		
8	8	29	29	0.25	1/4	1/4	Chord	4/4	5	1	1/16	1/16	1	127										
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	5	1	1/16	1/16	1	128										
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	5	1	1/16	1/16	1	129										
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	5	1	1/16	1/16	1	130										
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	5	1	0										1/8	5		
8	8	30	30	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	131										
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	5	1	1/8	1/8	1	132										
8	8	31	31	1.0	3/4	3/4	Chord	4/4	5	1	1/4	1/4	1	133										
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	134										
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	135	xus									
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	136	---									
